checkpoint,round,client_id,role,weight_space,scope,layer,n_params,clean_update_norm,poison_update_norm,bd_update_norm,stochastic_norm,cosine_poison_clean,cosine_bd_clean,conflict_ratio,conflict_n,bd_norm_frac,bd_energy_frac,occupation_abs_mean,occupation_rank_mean
r0005,5,1,benign,upload,backbone,conv2d,896,0.22453160207047226,0.22453160207047226,0.0,0.2222038686466173,1.0,,,0,,,0.005652826190952785,0.9223892286272058
r0005,5,1,benign,upload,backbone,batch_normalization,128,0.1404291475870943,0.1404291475870943,0.0,0.1320428205059167,1.0,,,0,,,0.0077685675528300635,0.9552303650067107
r0005,5,1,benign,upload,backbone,conv2d_1,18496,0.37160985251256107,0.37160985251256107,0.0,0.4115200617508304,1.0000000000000002,,,0,,,0.0020893918122941086,0.8813504650986143
r0005,5,1,benign,upload,backbone,batch_normalization_1,256,0.5941382382745547,0.5941382382745547,0.0,0.7249820484559125,1.0000000000000002,,,0,,,0.02039510465743888,0.9237147861391759
r0005,5,1,benign,upload,backbone,conv2d_2,73856,0.4533978493930062,0.4533978493930062,0.0,0.5526323401614555,1.0,,,0,,,0.0013040751836143568,0.8299209579994572
r0005,5,1,benign,upload,backbone,batch_normalization_2,512,1.4635153130064058,1.4635153130064058,0.0,1.7572045828631555,0.9999999999999998,,,0,,,0.034678858110567035,0.8865831383884314
r0005,5,1,benign,upload,backbone,conv2d_3,147584,0.4760402100622402,0.4760402100622402,0.0,0.6038413134558092,1.0,,,0,,,0.0009731991223238305,0.7843618466548014
r0005,5,1,benign,upload,backbone,batch_normalization_3,512,1.1438669927061889,1.1438669927061889,0.0,1.3750799667658329,0.9999999999999998,,,0,,,0.027749156181116064,0.8991296115183259
r0005,5,1,benign,upload,backbone,conv2d_4,295168,0.5801958769913989,0.5801958769913989,0.0,0.7429816357241922,0.9999999999999999,,,0,,,0.0008437729814173289,0.7604547205635691
r0005,5,1,benign,upload,backbone,batch_normalization_4,1024,2.7550989032019033,2.7550989032019033,0.0,3.612010176153906,1.0,,,0,,,0.04606284860475185,0.8576841008932641
r0005,5,1,benign,upload,backbone,conv2d_5,590080,0.6378355100349807,0.6378355100349807,0.0,0.8089404873372745,1.0000000000000002,,,0,,,0.0006547630644932536,0.7095379218921358
r0005,5,1,benign,upload,backbone,batch_normalization_5,1024,2.014236688647257,2.014236688647257,0.0,2.630075186637539,1.0,,,0,,,0.03541872272762703,0.8856714299683535
r0005,5,1,benign,upload,backbone,dense,4195328,0.7543424922243483,0.7543424922243483,0.0,0.958901146381197,1.0,,,0,,,0.00025240868845424075,0.44779371242582583
r0005,5,1,benign,upload,backbone,dense_1,524800,0.3697195782269399,0.3697195782269399,0.0,0.4578660776933964,1.0,,,0,,,0.0002719623354497713,0.3921578175705315
r0005,5,1,benign,upload,backbone,__all__,5849664,4.188153236735111,4.188153236735111,0.0,5.358157283112577,1.0,,,0,1.0,1.0,0.0003833295312846472,0.5000000000000004
r0005,5,1,benign,upload,head,dense_2,5130,0.08344552949145302,0.08344552949145302,0.0,0.041029849508164545,1.0,,,0,,,0.0006339434955735327,0.5
r0005,5,1,benign,upload,head,__all__,5130,0.08344552949145302,0.08344552949145302,0.0,0.041029849508164545,1.0,,,0,1.0,1.0,0.0006339434955735327,0.5
r0005,5,1,benign,personal,backbone,conv2d,896,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,1,benign,personal,backbone,batch_normalization,128,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,1,benign,personal,backbone,conv2d_1,18496,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,1,benign,personal,backbone,batch_normalization_1,256,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,1,benign,personal,backbone,conv2d_2,73856,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,1,benign,personal,backbone,batch_normalization_2,512,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,1,benign,personal,backbone,conv2d_3,147584,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,1,benign,personal,backbone,batch_normalization_3,512,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,1,benign,personal,backbone,conv2d_4,295168,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
r0005,5,1,benign,personal,backbone,batch_normalization_4,1024,0.0,0.0,0.0,0.0,,,,0,,,0.0,0.5
