
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 10 edges...
  [Client 83] Round 1 | loss=1.8373 | time=11.7s
  [Client 75] Round 1 | loss=1.9679 | time=9.2s
  [Client 80] Round 1 | loss=1.9986 | time=9.3s
  [Client 43] Round 1 | loss=2.1051 | time=11.2s
  [Client 42] Round 1 | loss=1.8566 | time=10.7s
  [Client 72] Round 1 | loss=1.8157 | time=12.6s
  [Client 20] Round 1 | loss=1.7651 | time=8.6s
  [Client 81] Round 1 | loss=1.8724 | time=10.2s
  [Client 19] Round 1 | loss=1.3835 | time=11.9s
  [Client 53] Round 1 | loss=1.8258 | time=11.3s
  [Client 36] Round 1 | loss=1.4525 | time=10.2s
  [Client 99] Round 1 | loss=2.0050 | time=11.1s
  [Client 97] Round 1 | loss=1.8477 | time=11.0s
  [Client 73] Round 1 | loss=2.0759 | time=9.5s
  [Client 37] Round 1 | loss=1.8609 | time=13.0s
  [Client 86] Round 1 | loss=2.1139 | time=8.0s
  [Client 21] Round 1 | loss=1.8519 | time=7.8s
  [Client 26] Round 1 | loss=1.8169 | time=9.9s
  [Client  2] Round 1 | loss=1.8830 | time=11.4s
  [Client 16] Round 1 | loss=1.9541 | time=11.4s
  [Client 44] Round 1 | loss=1.4793 | time=9.5s
  [Client  9] Round 1 | loss=1.9913 | time=11.2s
  [Client 85] Round 1 | loss=1.7551 | time=12.1s
  [Client 94] Round 1 | loss=1.7576 | time=9.0s
  [Client  6] Round 1 | loss=1.9750 | time=9.2s
  [Client 22] Round 1 | loss=1.7700 | time=10.9s
  [Client 41] Round 1 | loss=2.0486 | time=10.9s
  [Client  4] Round 1 | loss=1.9578 | time=11.4s
  [Client 46] Round 1 | loss=2.0400 | time=10.2s
  [Client 50] Round 1 | loss=2.0531 | time=11.7s
  [Client 63] Round 1 | loss=1.8348 | time=11.6s
  [Client 10] Round 1 | loss=1.8059 | time=9.4s
  [Client 45] Round 1 | loss=1.6566 | time=10.3s
  [Client 78] Round 1 | loss=1.5847 | time=14.3s
  [Client  3] Round 1 | loss=1.7203 | time=12.9s
  [Client 39] Round 1 | loss=2.3139 | time=8.8s
  [Client 54] Round 1 | loss=2.0056 | time=11.1s
  [Client 32] Round 1 | loss=1.6686 | time=9.5s
  [Client 12] Round 1 | loss=1.7439 | time=9.5s
  [Client 61] Round 1 | loss=1.3895 | time=10.1s
  [Client 91] Round 1 | loss=1.9843 | time=8.4s
  [Client 59] Round 1 | loss=1.8915 | time=10.3s
  [Client 18] Round 1 | loss=1.9296 | time=11.7s
  [Client 76] Round 1 | loss=2.0390 | time=11.1s
  [Client 55] Round 1 | loss=1.8993 | time=12.2s
  [Client 95] Round 1 | loss=1.1250 | time=10.9s
  [Client 24] Round 1 | loss=1.6602 | time=12.1s
  [Client 23] Round 1 | loss=1.7123 | time=11.5s
  [Client 33] Round 1 | loss=1.8525 | time=9.9s
  [Client 14] Round 1 | loss=2.3099 | time=8.8s
  [Edge 1] G-Round 1 | E-Round 1 | loss=1.8305
  [Edge 1] G-Round 1 | E-Round 2 | Selected 54/54 clients
  [Client 95] Round 1 | loss=0.9609 | time=0.8s
  [Client 81] Round 1 | loss=1.6951 | time=0.7s
  [Client 16] Round 1 | loss=1.9852 | time=0.8s
  [Client 19] Round 1 | loss=1.2875 | time=1.7s
  [Client 46] Round 1 | loss=1.7977 | time=0.7s
  [Client 63] Round 1 | loss=1.8463 | time=0.8s
  [Client 72] Round 1 | loss=1.8597 | time=1.6s
  [Client 85] Round 1 | loss=1.5981 | time=1.5s
  [Client  9] Round 1 | loss=1.8931 | time=0.8s
  [Client 78] Round 1 | loss=1.4284 | time=1.3s
  [Client  2] Round 1 | loss=1.7644 | time=0.8s
  [Client 91] Round 1 | loss=2.1186 | time=0.4s
  [Client 53] Round 1 | loss=1.6828 | time=0.8s
  [Client 45] Round 1 | loss=1.8646 | time=0.7s
  [Client 23] Round 1 | loss=1.6655 | time=0.6s
  [Client 14] Round 1 | loss=2.0904 | time=0.5s
  [Client 37] Round 1 | loss=1.8815 | time=1.4s
  [Client  4] Round 1 | loss=1.8606 | time=1.2s
  [Client 32] Round 1 | loss=1.7344 | time=0.8s
  [Client 21] Round 1 | loss=2.0102 | time=0.4s
  [Client 26] Round 1 | loss=1.8522 | time=0.9s
  [Client  6] Round 1 | loss=2.0627 | time=0.5s
  [Client 20] Round 1 | loss=1.4873 | time=1.0s
