
====================================================
 Centralized Training Start
====================================================
  [Epoch  63/200] train_loss=0.1097 | test_loss=0.5761 | test_acc=0.8465 | time=36.4s
  [Epoch  64/200] train_loss=0.1036 | test_loss=0.6301 | test_acc=0.8386 | time=36.5s
  [Epoch  65/200] train_loss=0.0972 | test_loss=0.5573 | test_acc=0.8568 | time=36.5s
  [Epoch  66/200] train_loss=0.0937 | test_loss=0.6339 | test_acc=0.8428 | time=36.5s
  [Epoch  67/200] train_loss=0.0871 | test_loss=0.5758 | test_acc=0.8557 | time=36.6s
  [Epoch  68/200] train_loss=0.0771 | test_loss=0.5263 | test_acc=0.8684 | time=36.5s
  [Epoch  69/200] train_loss=0.0829 | test_loss=0.6189 | test_acc=0.8488 | time=36.5s
  [Epoch  70/200] train_loss=0.0753 | test_loss=0.6176 | test_acc=0.8495 | time=36.6s
  [Epoch  71/200] train_loss=0.0722 | test_loss=0.6306 | test_acc=0.8495 | time=36.5s
  [Epoch  72/200] train_loss=0.0734 | test_loss=0.6226 | test_acc=0.8499 | time=36.5s
  [Epoch  73/200] train_loss=0.0697 | test_loss=0.6637 | test_acc=0.8470 | time=36.5s
  [Epoch  74/200] train_loss=0.0565 | test_loss=0.5970 | test_acc=0.8612 | time=36.5s
  [Epoch  75/200] train_loss=0.0589 | test_loss=0.5974 | test_acc=0.8599 | time=36.5s
  [Epoch  76/200] train_loss=0.0510 | test_loss=0.6349 | test_acc=0.8570 | time=36.5s
  [Epoch  77/200] train_loss=0.0600 | test_loss=0.5815 | test_acc=0.8625 | time=36.6s
  [Epoch  78/200] train_loss=0.0486 | test_loss=0.5950 | test_acc=0.8603 | time=36.4s
  [Epoch  79/200] train_loss=0.0425 | test_loss=0.5886 | test_acc=0.8641 | time=36.4s
  [Epoch  80/200] train_loss=0.0461 | test_loss=0.6372 | test_acc=0.8522 | time=36.5s
  [Epoch  81/200] train_loss=0.0493 | test_loss=0.6494 | test_acc=0.8553 | time=36.5s
  [Epoch  82/200] train_loss=0.0514 | test_loss=0.6312 | test_acc=0.8580 | time=36.5s
  [Epoch  83/200] train_loss=0.0520 | test_loss=0.7120 | test_acc=0.8454 | time=36.4s
  [Epoch  84/200] train_loss=0.0483 | test_loss=0.6062 | test_acc=0.8619 | time=36.5s
  [Epoch  85/200] train_loss=0.0479 | test_loss=0.6113 | test_acc=0.8624 | time=36.4s
  [Epoch  86/200] train_loss=0.0419 | test_loss=0.6332 | test_acc=0.8586 | time=36.4s
  [Epoch  87/200] train_loss=0.0350 | test_loss=0.6190 | test_acc=0.8657 | time=36.4s
  [Epoch  88/200] train_loss=0.0317 | test_loss=0.6139 | test_acc=0.8666 | time=36.4s
  [Epoch  89/200] train_loss=0.0343 | test_loss=0.6070 | test_acc=0.8710 | time=36.4s
  [Epoch  90/200] train_loss=0.0369 | test_loss=0.6409 | test_acc=0.8610 | time=36.4s
  [Epoch  91/200] train_loss=0.0290 | test_loss=0.6743 | test_acc=0.8583 | time=36.4s
  [Epoch  92/200] train_loss=0.0300 | test_loss=0.6398 | test_acc=0.8636 | time=36.4s
  [Epoch  93/200] train_loss=0.0278 | test_loss=0.6467 | test_acc=0.8653 | time=36.5s
  [Epoch  94/200] train_loss=0.0248 | test_loss=0.6586 | test_acc=0.8637 | time=36.4s
  [Epoch  95/200] train_loss=0.0304 | test_loss=0.6379 | test_acc=0.8670 | time=36.4s
  [Epoch  96/200] train_loss=0.0303 | test_loss=0.6837 | test_acc=0.8564 | time=36.4s
  [Epoch  97/200] train_loss=0.0213 | test_loss=0.6813 | test_acc=0.8589 | time=36.4s
  [Epoch  98/200] train_loss=0.0193 | test_loss=0.7107 | test_acc=0.8602 | time=36.5s
  [Epoch  99/200] train_loss=0.0249 | test_loss=0.6744 | test_acc=0.8635 | time=36.4s
  [Epoch 100/200] train_loss=0.0216 | test_loss=0.6579 | test_acc=0.8654 | time=36.4s
  [Epoch 101/200] train_loss=0.0231 | test_loss=0.6213 | test_acc=0.8759 | time=36.4s
  [Epoch 102/200] train_loss=0.0227 | test_loss=0.6420 | test_acc=0.8686 | time=36.4s
  [Epoch 103/200] train_loss=0.0207 | test_loss=0.6447 | test_acc=0.8699 | time=36.4s
  [Epoch 104/200] train_loss=0.0151 | test_loss=0.6626 | test_acc=0.8654 | time=36.4s
  [Epoch 105/200] train_loss=0.0213 | test_loss=0.6217 | test_acc=0.8716 | time=36.4s
  [Epoch 106/200] train_loss=0.0155 | test_loss=0.6582 | test_acc=0.8689 | time=36.5s
  [Epoch 107/200] train_loss=0.0172 | test_loss=0.6656 | test_acc=0.8665 | time=36.5s
  [Epoch 108/200] train_loss=0.0181 | test_loss=0.7163 | test_acc=0.8576 | time=36.5s
  [Epoch 109/200] train_loss=0.0134 | test_loss=0.6548 | test_acc=0.8699 | time=36.5s
  [Epoch 110/200] train_loss=0.0157 | test_loss=0.6863 | test_acc=0.8639 | time=36.4s
  [Epoch 111/200] train_loss=0.0122 | test_loss=0.6592 | test_acc=0.8717 | time=36.6s
  [Epoch 112/200] train_loss=0.0138 | test_loss=0.6473 | test_acc=0.8748 | time=36.4s
  [Epoch 113/200] train_loss=0.0131 | test_loss=0.6696 | test_acc=0.8710 | time=36.4s
  [Epoch 114/200] train_loss=0.0136 | test_loss=0.6827 | test_acc=0.8681 | time=36.4s
  [Epoch 115/200] train_loss=0.0120 | test_loss=0.7161 | test_acc=0.8622 | time=36.4s
  [Epoch 116/200] train_loss=0.0143 | test_loss=0.7323 | test_acc=0.8603 | time=36.4s
  [Epoch 117/200] train_loss=0.0099 | test_loss=0.6571 | test_acc=0.8739 | time=36.4s
  [Epoch 118/200] train_loss=0.0129 | test_loss=0.6823 | test_acc=0.8688 | time=36.4s
  [Epoch 119/200] train_loss=0.0129 | test_loss=0.7086 | test_acc=0.8659 | time=36.5s
  [Epoch 120/200] train_loss=0.0172 | test_loss=0.7946 | test_acc=0.8557 | time=36.3s
  [Epoch 121/200] train_loss=0.0154 | test_loss=0.7040 | test_acc=0.8660 | time=36.3s
  [Epoch 122/200] train_loss=0.0116 | test_loss=0.7030 | test_acc=0.8688 | time=36.3s
  [Epoch 123/200] train_loss=0.0118 | test_loss=0.6746 | test_acc=0.8716 | time=36.3s
  [Epoch 124/200] train_loss=0.0096 | test_loss=0.6769 | test_acc=0.8740 | time=36.3s
  [Epoch 125/200] train_loss=0.0109 | test_loss=0.7355 | test_acc=0.8661 | time=36.3s
  [Epoch 126/200] train_loss=0.0094 | test_loss=0.6984 | test_acc=0.8694 | time=36.4s
  [Epoch 127/200] train_loss=0.0087 | test_loss=0.7125 | test_acc=0.8662 | time=36.4s
  [Epoch 128/200] train_loss=0.0093 | test_loss=0.7081 | test_acc=0.8684 | time=36.4s
  [Epoch 129/200] train_loss=0.0099 | test_loss=0.7063 | test_acc=0.8673 | time=36.4s
  [Epoch 130/200] train_loss=0.0076 | test_loss=0.6989 | test_acc=0.8703 | time=36.4s
  [Epoch 131/200] train_loss=0.0080 | test_loss=0.7003 | test_acc=0.8700 | time=36.3s
  [Epoch 132/200] train_loss=0.0101 | test_loss=0.6923 | test_acc=0.8737 | time=36.4s
  [Epoch 133/200] train_loss=0.0091 | test_loss=0.6900 | test_acc=0.8722 | time=36.4s
  [Epoch 134/200] train_loss=0.0082 | test_loss=0.6904 | test_acc=0.8715 | time=36.4s
  [Epoch 135/200] train_loss=0.0067 | test_loss=0.7063 | test_acc=0.8691 | time=36.3s
  [Epoch 136/200] train_loss=0.0073 | test_loss=0.6907 | test_acc=0.8746 | time=36.3s
  [Epoch 137/200] train_loss=0.0080 | test_loss=0.7072 | test_acc=0.8720 | time=36.3s
  [Epoch 138/200] train_loss=0.0095 | test_loss=0.7105 | test_acc=0.8729 | time=36.4s
  [Epoch 139/200] train_loss=0.0062 | test_loss=0.7020 | test_acc=0.8733 | time=36.4s
  [Epoch 140/200] train_loss=0.0062 | test_loss=0.6950 | test_acc=0.8751 | time=36.4s
  [Epoch 141/200] train_loss=0.0050 | test_loss=0.6942 | test_acc=0.8754 | time=36.4s
  [Epoch 142/200] train_loss=0.0059 | test_loss=0.6955 | test_acc=0.8733 | time=36.4s
  [Epoch 143/200] train_loss=0.0058 | test_loss=0.7136 | test_acc=0.8712 | time=36.5s
  [Epoch 144/200] train_loss=0.0066 | test_loss=0.7159 | test_acc=0.8722 | time=36.5s
  [Epoch 145/200] train_loss=0.0061 | test_loss=0.7216 | test_acc=0.8715 | time=36.5s
  [Epoch 146/200] train_loss=0.0050 | test_loss=0.7431 | test_acc=0.8679 | time=36.4s
  [Epoch 147/200] train_loss=0.0066 | test_loss=0.7380 | test_acc=0.8692 | time=36.5s
  [Epoch 148/200] train_loss=0.0068 | test_loss=0.7244 | test_acc=0.8701 | time=36.4s
  [Epoch 149/200] train_loss=0.0048 | test_loss=0.7782 | test_acc=0.8649 | time=36.6s
  [Epoch 150/200] train_loss=0.0053 | test_loss=0.7006 | test_acc=0.8752 | time=36.4s
  [Epoch 151/200] train_loss=0.0053 | test_loss=0.6999 | test_acc=0.8756 | time=36.4s
  [Epoch 152/200] train_loss=0.0052 | test_loss=0.7430 | test_acc=0.8703 | time=36.4s
  [Epoch 153/200] train_loss=0.0041 | test_loss=0.7204 | test_acc=0.8733 | time=36.4s
  [Epoch 154/200] train_loss=0.0050 | test_loss=0.7243 | test_acc=0.8720 | time=36.5s
  [Epoch 155/200] train_loss=0.0032 | test_loss=0.7116 | test_acc=0.8763 | time=41.1s
  [Epoch 156/200] train_loss=0.0043 | test_loss=0.7334 | test_acc=0.8720 | time=36.4s
  [Epoch 157/200] train_loss=0.0054 | test_loss=0.7646 | test_acc=0.8675 | time=36.5s
  [Epoch 158/200] train_loss=0.0035 | test_loss=0.7323 | test_acc=0.8716 | time=36.4s
  [Epoch 159/200] train_loss=0.0041 | test_loss=0.7354 | test_acc=0.8712 | time=36.4s
  [Epoch 160/200] train_loss=0.0039 | test_loss=0.7238 | test_acc=0.8740 | time=36.4s
  [Epoch 161/200] train_loss=0.0039 | test_loss=0.7155 | test_acc=0.8748 | time=36.4s
  [Epoch 162/200] train_loss=0.0030 | test_loss=0.7230 | test_acc=0.8767 | time=36.7s
  [Epoch 163/200] train_loss=0.0039 | test_loss=0.7424 | test_acc=0.8718 | time=36.5s
  [Epoch 164/200] train_loss=0.0035 | test_loss=0.7534 | test_acc=0.8702 | time=36.4s
  [Epoch 165/200] train_loss=0.0036 | test_loss=0.7150 | test_acc=0.8769 | time=36.5s
  [Epoch 166/200] train_loss=0.0027 | test_loss=0.7441 | test_acc=0.8716 | time=36.4s
  [Epoch 167/200] train_loss=0.0030 | test_loss=0.7200 | test_acc=0.8743 | time=36.4s
  [Epoch 168/200] train_loss=0.0031 | test_loss=0.7335 | test_acc=0.8730 | time=36.4s
  [Epoch 169/200] train_loss=0.0031 | test_loss=0.7382 | test_acc=0.8727 | time=36.3s
  [Epoch 170/200] train_loss=0.0038 | test_loss=0.7318 | test_acc=0.8756 | time=36.3s
  [Epoch 171/200] train_loss=0.0040 | test_loss=0.7097 | test_acc=0.8766 | time=36.4s
  [Epoch 172/200] train_loss=0.0036 | test_loss=0.7391 | test_acc=0.8774 | time=36.3s
  [Epoch 173/200] train_loss=0.0034 | test_loss=0.7370 | test_acc=0.8739 | time=36.4s
  [Epoch 174/200] train_loss=0.0034 | test_loss=0.7468 | test_acc=0.8693 | time=36.4s
  [Epoch 175/200] train_loss=0.0043 | test_loss=0.7338 | test_acc=0.8743 | time=36.4s
  [Epoch 176/200] train_loss=0.0026 | test_loss=0.7437 | test_acc=0.8723 | time=36.3s
