
====================================================
 Centralized Training Start
====================================================
  [Epoch  63/600] train_loss=0.0021 | test_loss=1.0159 | test_acc=0.8622 | time=15.6s
  [Epoch  64/600] train_loss=0.0025 | test_loss=1.0151 | test_acc=0.8616 | time=15.6s
  [Epoch  65/600] train_loss=0.0027 | test_loss=0.9945 | test_acc=0.8658 | time=15.6s
  [Epoch  66/600] train_loss=0.0016 | test_loss=1.0086 | test_acc=0.8644 | time=15.5s
  [Epoch  67/600] train_loss=0.0021 | test_loss=0.9824 | test_acc=0.8642 | time=15.6s
  [Epoch  68/600] train_loss=0.0017 | test_loss=1.0122 | test_acc=0.8655 | time=15.7s
  [Epoch  69/600] train_loss=0.0016 | test_loss=1.0114 | test_acc=0.8647 | time=15.7s
  [Epoch  70/600] train_loss=0.0018 | test_loss=1.0321 | test_acc=0.8649 | time=15.6s
  [Epoch  71/600] train_loss=0.0021 | test_loss=1.1016 | test_acc=0.8605 | time=15.5s
  [Epoch  72/600] train_loss=0.0029 | test_loss=1.0442 | test_acc=0.8667 | time=15.5s
  [Epoch  73/600] train_loss=0.0018 | test_loss=1.0412 | test_acc=0.8664 | time=15.5s
  [Epoch  74/600] train_loss=0.0015 | test_loss=1.0455 | test_acc=0.8614 | time=15.4s
  [Epoch  75/600] train_loss=0.0021 | test_loss=1.0267 | test_acc=0.8654 | time=15.4s
  [Epoch  76/600] train_loss=0.0014 | test_loss=1.0709 | test_acc=0.8612 | time=15.3s
  [Epoch  77/600] train_loss=0.0018 | test_loss=1.0707 | test_acc=0.8609 | time=15.2s
  [Epoch  78/600] train_loss=0.0008 | test_loss=1.0410 | test_acc=0.8652 | time=15.2s
  [Epoch  79/600] train_loss=0.0014 | test_loss=1.0282 | test_acc=0.8635 | time=15.2s
  [Epoch  80/600] train_loss=0.0012 | test_loss=1.0573 | test_acc=0.8611 | time=15.2s
  [Epoch  81/600] train_loss=0.0011 | test_loss=1.0471 | test_acc=0.8638 | time=15.1s
  [Epoch  82/600] train_loss=0.0011 | test_loss=1.0500 | test_acc=0.8645 | time=15.1s
  [Epoch  83/600] train_loss=0.0014 | test_loss=1.0347 | test_acc=0.8644 | time=15.1s
  [Epoch  84/600] train_loss=0.0009 | test_loss=1.0468 | test_acc=0.8667 | time=15.1s
  [Epoch  85/600] train_loss=0.0008 | test_loss=1.0995 | test_acc=0.8641 | time=15.1s
  [Epoch  86/600] train_loss=0.0006 | test_loss=1.0660 | test_acc=0.8663 | time=15.1s
  [Epoch  87/600] train_loss=0.0008 | test_loss=1.0547 | test_acc=0.8676 | time=15.2s
  [Epoch  88/600] train_loss=0.0006 | test_loss=1.0760 | test_acc=0.8654 | time=15.1s
  [Epoch  89/600] train_loss=0.0015 | test_loss=1.0709 | test_acc=0.8658 | time=15.4s
  [Epoch  90/600] train_loss=0.0004 | test_loss=1.0577 | test_acc=0.8667 | time=15.2s
  [Epoch  91/600] train_loss=0.0010 | test_loss=1.0985 | test_acc=0.8634 | time=15.3s
  [Epoch  92/600] train_loss=0.0007 | test_loss=1.0777 | test_acc=0.8675 | time=15.2s
  [Epoch  93/600] train_loss=0.0007 | test_loss=1.0893 | test_acc=0.8668 | time=15.2s
  [Epoch  94/600] train_loss=0.0005 | test_loss=1.1039 | test_acc=0.8675 | time=15.2s
  [Epoch  95/600] train_loss=0.0007 | test_loss=1.1375 | test_acc=0.8633 | time=15.1s
  [Epoch  96/600] train_loss=0.0009 | test_loss=1.0858 | test_acc=0.8668 | time=15.1s
  [Epoch  97/600] train_loss=0.0006 | test_loss=1.0972 | test_acc=0.8675 | time=15.1s
  [Epoch  98/600] train_loss=0.0009 | test_loss=1.0642 | test_acc=0.8665 | time=15.2s
  [Epoch  99/600] train_loss=0.0007 | test_loss=1.0648 | test_acc=0.8668 | time=15.1s
  [Epoch 100/600] train_loss=0.0008 | test_loss=1.0513 | test_acc=0.8674 | time=15.1s
  [Epoch 101/600] train_loss=0.0003 | test_loss=1.0624 | test_acc=0.8691 | time=15.1s
  [Epoch 102/600] train_loss=0.0005 | test_loss=1.0927 | test_acc=0.8674 | time=15.1s
  [Epoch 103/600] train_loss=0.0003 | test_loss=1.0759 | test_acc=0.8689 | time=15.2s
  [Epoch 104/600] train_loss=0.0005 | test_loss=1.0671 | test_acc=0.8703 | time=15.1s
  [Epoch 105/600] train_loss=0.0008 | test_loss=1.0806 | test_acc=0.8674 | time=15.3s
  [Epoch 106/600] train_loss=0.0008 | test_loss=1.0778 | test_acc=0.8686 | time=15.3s
  [Epoch 107/600] train_loss=0.0005 | test_loss=1.0903 | test_acc=0.8699 | time=15.3s
  [Epoch 108/600] train_loss=0.0003 | test_loss=1.1148 | test_acc=0.8676 | time=15.1s
  [Epoch 109/600] train_loss=0.0009 | test_loss=1.1055 | test_acc=0.8683 | time=15.2s
  [Epoch 110/600] train_loss=0.0009 | test_loss=1.1095 | test_acc=0.8670 | time=15.1s
  [Epoch 111/600] train_loss=0.0004 | test_loss=1.0972 | test_acc=0.8677 | time=15.2s
  [Epoch 112/600] train_loss=0.0005 | test_loss=1.1050 | test_acc=0.8665 | time=15.2s
  [Epoch 113/600] train_loss=0.0006 | test_loss=1.1127 | test_acc=0.8703 | time=15.2s
  [Epoch 114/600] train_loss=0.0004 | test_loss=1.1119 | test_acc=0.8696 | time=15.1s
  [Epoch 115/600] train_loss=0.0007 | test_loss=1.1100 | test_acc=0.8684 | time=15.1s
  [Epoch 116/600] train_loss=0.0007 | test_loss=1.1074 | test_acc=0.8674 | time=15.1s
  [Epoch 117/600] train_loss=0.0004 | test_loss=1.0859 | test_acc=0.8696 | time=15.2s
  [Epoch 118/600] train_loss=0.0004 | test_loss=1.0966 | test_acc=0.8677 | time=15.1s
  [Epoch 119/600] train_loss=0.0008 | test_loss=1.1019 | test_acc=0.8681 | time=15.2s
  [Epoch 120/600] train_loss=0.0005 | test_loss=1.0967 | test_acc=0.8673 | time=15.2s
  [Epoch 121/600] train_loss=0.0002 | test_loss=1.0964 | test_acc=0.8682 | time=15.1s
  [Epoch 122/600] train_loss=0.0003 | test_loss=1.0930 | test_acc=0.8684 | time=15.1s
  [Epoch 123/600] train_loss=0.0004 | test_loss=1.1185 | test_acc=0.8682 | time=15.2s
  [Epoch 124/600] train_loss=0.0003 | test_loss=1.1279 | test_acc=0.8688 | time=15.1s
  [Epoch 125/600] train_loss=0.0004 | test_loss=1.1298 | test_acc=0.8672 | time=15.2s
  [Epoch 126/600] train_loss=0.0003 | test_loss=1.1397 | test_acc=0.8681 | time=15.2s
  [Epoch 127/600] train_loss=0.0003 | test_loss=1.1241 | test_acc=0.8694 | time=15.2s
  [Epoch 128/600] train_loss=0.0003 | test_loss=1.1251 | test_acc=0.8659 | time=15.2s
  [Epoch 129/600] train_loss=0.0005 | test_loss=1.1150 | test_acc=0.8667 | time=15.1s
  [Epoch 130/600] train_loss=0.0004 | test_loss=1.1008 | test_acc=0.8677 | time=15.1s
  [Epoch 131/600] train_loss=0.0002 | test_loss=1.1140 | test_acc=0.8669 | time=15.1s
  [Epoch 132/600] train_loss=0.0002 | test_loss=1.0940 | test_acc=0.8673 | time=15.1s
  [Epoch 133/600] train_loss=0.0005 | test_loss=1.1020 | test_acc=0.8685 | time=15.1s
  [Epoch 134/600] train_loss=0.0002 | test_loss=1.1097 | test_acc=0.8689 | time=15.2s
  [Epoch 135/600] train_loss=0.0005 | test_loss=1.1147 | test_acc=0.8677 | time=15.2s
  [Epoch 136/600] train_loss=0.0002 | test_loss=1.1329 | test_acc=0.8666 | time=15.1s
  [Epoch 137/600] train_loss=0.0002 | test_loss=1.1238 | test_acc=0.8681 | time=15.1s
  [Epoch 138/600] train_loss=0.0003 | test_loss=1.1141 | test_acc=0.8665 | time=15.2s
  [Epoch 139/600] train_loss=0.0004 | test_loss=1.1095 | test_acc=0.8673 | time=15.1s
  [Epoch 140/600] train_loss=0.0005 | test_loss=1.1185 | test_acc=0.8678 | time=15.2s
  [Epoch 141/600] train_loss=0.0002 | test_loss=1.1224 | test_acc=0.8659 | time=15.1s
  [Epoch 142/600] train_loss=0.0003 | test_loss=1.1060 | test_acc=0.8680 | time=15.1s
  [Epoch 143/600] train_loss=0.0002 | test_loss=1.1019 | test_acc=0.8681 | time=15.1s
  [Epoch 144/600] train_loss=0.0001 | test_loss=1.1135 | test_acc=0.8697 | time=15.1s
  [Epoch 145/600] train_loss=0.0002 | test_loss=1.1323 | test_acc=0.8682 | time=15.1s
  [Epoch 146/600] train_loss=0.0001 | test_loss=1.1067 | test_acc=0.8689 | time=15.1s
  [Epoch 147/600] train_loss=0.0003 | test_loss=1.1135 | test_acc=0.8700 | time=15.2s
  [Epoch 148/600] train_loss=0.0002 | test_loss=1.1053 | test_acc=0.8710 | time=15.1s
