
====================================================
 Centralized Training Start
====================================================
  [Epoch  63/600] train_loss=0.1936 | test_loss=0.7348 | test_acc=0.7936 | time=2.1s
  [Epoch  64/600] train_loss=0.1862 | test_loss=0.7549 | test_acc=0.7935 | time=2.1s
  [Epoch  65/600] train_loss=0.1867 | test_loss=0.7400 | test_acc=0.7932 | time=2.1s
  [Epoch  66/600] train_loss=0.1859 | test_loss=0.7279 | test_acc=0.7949 | time=2.1s
  [Epoch  67/600] train_loss=0.1781 | test_loss=0.7482 | test_acc=0.7955 | time=2.1s
  [Epoch  68/600] train_loss=0.1773 | test_loss=0.7530 | test_acc=0.7911 | time=2.1s
  [Epoch  69/600] train_loss=0.1693 | test_loss=0.7808 | test_acc=0.7903 | time=2.1s
  [Epoch  70/600] train_loss=0.1717 | test_loss=0.7473 | test_acc=0.7942 | time=2.1s
  [Epoch  71/600] train_loss=0.1703 | test_loss=0.7723 | test_acc=0.7910 | time=2.1s
  [Epoch  72/600] train_loss=0.1661 | test_loss=0.7701 | test_acc=0.7941 | time=2.1s
  [Epoch  73/600] train_loss=0.1637 | test_loss=0.7949 | test_acc=0.7941 | time=2.1s
  [Epoch  74/600] train_loss=0.1602 | test_loss=0.7906 | test_acc=0.7956 | time=2.1s
  [Epoch  75/600] train_loss=0.1583 | test_loss=0.7762 | test_acc=0.7931 | time=2.1s
  [Epoch  76/600] train_loss=0.1544 | test_loss=0.7914 | test_acc=0.7955 | time=2.1s
  [Epoch  77/600] train_loss=0.1533 | test_loss=0.7682 | test_acc=0.7958 | time=2.1s
  [Epoch  78/600] train_loss=0.1538 | test_loss=0.7909 | test_acc=0.7970 | time=2.1s
  [Epoch  79/600] train_loss=0.1536 | test_loss=0.7632 | test_acc=0.7965 | time=2.1s
  [Epoch  80/600] train_loss=0.1489 | test_loss=0.7783 | test_acc=0.7948 | time=2.1s
  [Epoch  81/600] train_loss=0.1459 | test_loss=0.7831 | test_acc=0.7981 | time=2.1s
  [Epoch  82/600] train_loss=0.1488 | test_loss=0.7804 | test_acc=0.7970 | time=2.1s
  [Epoch  83/600] train_loss=0.1390 | test_loss=0.8019 | test_acc=0.7964 | time=2.1s
  [Epoch  84/600] train_loss=0.1377 | test_loss=0.7943 | test_acc=0.7949 | time=2.1s
  [Epoch  85/600] train_loss=0.1447 | test_loss=0.7884 | test_acc=0.7952 | time=2.1s
  [Epoch  86/600] train_loss=0.1402 | test_loss=0.7938 | test_acc=0.7976 | time=2.1s
  [Epoch  87/600] train_loss=0.1372 | test_loss=0.8105 | test_acc=0.7919 | time=2.1s
  [Epoch  88/600] train_loss=0.1380 | test_loss=0.8015 | test_acc=0.7940 | time=2.1s
  [Epoch  89/600] train_loss=0.1317 | test_loss=0.8345 | test_acc=0.7974 | time=2.1s
  [Epoch  90/600] train_loss=0.1305 | test_loss=0.8177 | test_acc=0.8013 | time=2.1s
  [Epoch  91/600] train_loss=0.1299 | test_loss=0.8033 | test_acc=0.7967 | time=2.1s
  [Epoch  92/600] train_loss=0.1299 | test_loss=0.8065 | test_acc=0.7965 | time=2.1s
  [Epoch  93/600] train_loss=0.1275 | test_loss=0.8220 | test_acc=0.7936 | time=2.1s
  [Epoch  94/600] train_loss=0.1221 | test_loss=0.8274 | test_acc=0.7982 | time=2.1s
  [Epoch  95/600] train_loss=0.1233 | test_loss=0.8125 | test_acc=0.7995 | time=2.1s
  [Epoch  96/600] train_loss=0.1201 | test_loss=0.8352 | test_acc=0.7972 | time=2.1s
  [Epoch  97/600] train_loss=0.1235 | test_loss=0.8338 | test_acc=0.7975 | time=2.1s
  [Epoch  98/600] train_loss=0.1243 | test_loss=0.8078 | test_acc=0.7970 | time=2.1s
  [Epoch  99/600] train_loss=0.1198 | test_loss=0.8357 | test_acc=0.7984 | time=2.1s
  [Epoch 100/600] train_loss=0.1166 | test_loss=0.8366 | test_acc=0.7995 | time=2.1s
  [Epoch 101/600] train_loss=0.1196 | test_loss=0.8328 | test_acc=0.8007 | time=2.1s
  [Epoch 102/600] train_loss=0.1121 | test_loss=0.8531 | test_acc=0.7956 | time=2.1s
  [Epoch 103/600] train_loss=0.1205 | test_loss=0.8503 | test_acc=0.8005 | time=2.1s
  [Epoch 104/600] train_loss=0.1144 | test_loss=0.8204 | test_acc=0.7975 | time=2.1s
  [Epoch 105/600] train_loss=0.1136 | test_loss=0.8237 | test_acc=0.7979 | time=2.1s
  [Epoch 106/600] train_loss=0.1133 | test_loss=0.8509 | test_acc=0.7991 | time=2.1s
  [Epoch 107/600] train_loss=0.1107 | test_loss=0.8605 | test_acc=0.7971 | time=2.1s
  [Epoch 108/600] train_loss=0.1121 | test_loss=0.8415 | test_acc=0.7981 | time=2.1s
  [Epoch 109/600] train_loss=0.1056 | test_loss=0.8170 | test_acc=0.8016 | time=2.1s
  [Epoch 110/600] train_loss=0.1089 | test_loss=0.8967 | test_acc=0.8005 | time=2.1s
  [Epoch 111/600] train_loss=0.1079 | test_loss=0.8766 | test_acc=0.7942 | time=2.1s
  [Epoch 112/600] train_loss=0.1118 | test_loss=0.8433 | test_acc=0.7999 | time=2.1s
  [Epoch 113/600] train_loss=0.1066 | test_loss=0.8655 | test_acc=0.7994 | time=2.1s
  [Epoch 114/600] train_loss=0.1083 | test_loss=0.8567 | test_acc=0.7981 | time=2.1s
  [Epoch 115/600] train_loss=0.1038 | test_loss=0.8566 | test_acc=0.7970 | time=2.1s
  [Epoch 116/600] train_loss=0.1037 | test_loss=0.8562 | test_acc=0.7971 | time=2.1s
  [Epoch 117/600] train_loss=0.0994 | test_loss=0.8852 | test_acc=0.7972 | time=2.1s
  [Epoch 118/600] train_loss=0.1025 | test_loss=0.8819 | test_acc=0.7946 | time=2.1s
  [Epoch 119/600] train_loss=0.1012 | test_loss=0.8633 | test_acc=0.7959 | time=2.1s
  [Epoch 120/600] train_loss=0.1049 | test_loss=0.8712 | test_acc=0.8002 | time=2.1s
  [Epoch 121/600] train_loss=0.1065 | test_loss=0.8765 | test_acc=0.7981 | time=2.1s
  [Epoch 122/600] train_loss=0.0970 | test_loss=0.8590 | test_acc=0.8001 | time=2.1s
  [Epoch 123/600] train_loss=0.0976 | test_loss=0.8760 | test_acc=0.7985 | time=2.1s
  [Epoch 124/600] train_loss=0.0968 | test_loss=0.8836 | test_acc=0.7995 | time=2.1s
  [Epoch 125/600] train_loss=0.0959 | test_loss=0.8872 | test_acc=0.8011 | time=2.1s
  [Epoch 126/600] train_loss=0.0985 | test_loss=0.8887 | test_acc=0.8007 | time=2.1s
  [Epoch 127/600] train_loss=0.0976 | test_loss=0.8708 | test_acc=0.7986 | time=2.1s
  [Epoch 128/600] train_loss=0.0954 | test_loss=0.8850 | test_acc=0.7994 | time=2.1s
  [Epoch 129/600] train_loss=0.0911 | test_loss=0.9187 | test_acc=0.7998 | time=2.1s
  [Epoch 130/600] train_loss=0.0890 | test_loss=0.8961 | test_acc=0.8002 | time=2.1s
  [Epoch 131/600] train_loss=0.0982 | test_loss=0.8973 | test_acc=0.7998 | time=2.1s
  [Epoch 132/600] train_loss=0.0909 | test_loss=0.9121 | test_acc=0.8006 | time=2.1s
  [Epoch 133/600] train_loss=0.0907 | test_loss=0.8906 | test_acc=0.7952 | time=2.1s
  [Epoch 134/600] train_loss=0.0928 | test_loss=0.8703 | test_acc=0.8021 | time=2.1s
  [Epoch 135/600] train_loss=0.0922 | test_loss=0.9159 | test_acc=0.8033 | time=2.1s
  [Epoch 136/600] train_loss=0.0884 | test_loss=0.9024 | test_acc=0.7972 | time=2.1s
  [Epoch 137/600] train_loss=0.0929 | test_loss=0.9024 | test_acc=0.8016 | time=2.1s
  [Epoch 138/600] train_loss=0.0858 | test_loss=0.9201 | test_acc=0.7993 | time=2.1s
  [Epoch 139/600] train_loss=0.0888 | test_loss=0.8799 | test_acc=0.8008 | time=2.1s
  [Epoch 140/600] train_loss=0.0888 | test_loss=0.8903 | test_acc=0.7992 | time=2.1s
  [Epoch 141/600] train_loss=0.0875 | test_loss=0.9351 | test_acc=0.7968 | time=2.1s
  [Epoch 142/600] train_loss=0.0905 | test_loss=0.9067 | test_acc=0.7997 | time=2.1s
  [Epoch 143/600] train_loss=0.0878 | test_loss=0.9092 | test_acc=0.7992 | time=2.1s
  [Epoch 144/600] train_loss=0.0879 | test_loss=0.8945 | test_acc=0.7991 | time=2.1s
  [Epoch 145/600] train_loss=0.0856 | test_loss=0.9515 | test_acc=0.7974 | time=2.1s
  [Epoch 146/600] train_loss=0.0859 | test_loss=0.9132 | test_acc=0.7998 | time=2.1s
  [Epoch 147/600] train_loss=0.0852 | test_loss=0.8756 | test_acc=0.7964 | time=2.1s
  [Epoch 148/600] train_loss=0.0844 | test_loss=0.9081 | test_acc=0.7976 | time=2.1s
  [Epoch 149/600] train_loss=0.0834 | test_loss=0.9177 | test_acc=0.7996 | time=2.1s
  [Epoch 150/600] train_loss=0.0835 | test_loss=0.9331 | test_acc=0.7984 | time=2.1s
  [Epoch 151/600] train_loss=0.0841 | test_loss=0.9034 | test_acc=0.8006 | time=2.1s
  [Epoch 152/600] train_loss=0.0839 | test_loss=0.9036 | test_acc=0.8013 | time=2.1s
  [Epoch 153/600] train_loss=0.0813 | test_loss=0.9399 | test_acc=0.8000 | time=2.1s
  [Epoch 154/600] train_loss=0.0806 | test_loss=0.9040 | test_acc=0.8031 | time=2.1s
  [Epoch 155/600] train_loss=0.0813 | test_loss=0.9196 | test_acc=0.8015 | time=2.1s
  [Epoch 156/600] train_loss=0.0809 | test_loss=0.9042 | test_acc=0.8035 | time=2.1s
  [Epoch 157/600] train_loss=0.0776 | test_loss=0.9468 | test_acc=0.8004 | time=2.1s
  [Epoch 158/600] train_loss=0.0774 | test_loss=0.9275 | test_acc=0.8028 | time=2.1s
  [Epoch 159/600] train_loss=0.0788 | test_loss=0.9250 | test_acc=0.8010 | time=2.1s
  [Epoch 160/600] train_loss=0.0761 | test_loss=0.9257 | test_acc=0.8015 | time=2.1s
  [Epoch 161/600] train_loss=0.0790 | test_loss=0.9372 | test_acc=0.8028 | time=2.1s
  [Epoch 162/600] train_loss=0.0784 | test_loss=0.9343 | test_acc=0.8056 | time=2.1s
  [Epoch 163/600] train_loss=0.0802 | test_loss=0.9119 | test_acc=0.8016 | time=2.1s
