
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 68/98 clients
  [Client 25] Round 1 | loss=1.8450 | time=1.0s
  [Client 91] Round 1 | loss=1.8021 | time=0.5s
  [Client 35] Round 1 | loss=1.5303 | time=0.8s
  [Client 93] Round 1 | loss=1.7002 | time=0.3s
  [Client 85] Round 1 | loss=1.6956 | time=1.5s
  [Client 56] Round 1 | loss=1.7355 | time=0.9s
  [Client  8] Round 1 | loss=1.7523 | time=1.1s
  [Client 11] Round 1 | loss=1.7522 | time=10.9s
  [Client  9] Round 1 | loss=1.8683 | time=0.8s
  [Client 74] Round 1 | loss=1.6303 | time=9.7s
  [Client 12] Round 1 | loss=1.6996 | time=0.6s
  [Client 46] Round 1 | loss=1.8411 | time=0.7s
  [Client 16] Round 1 | loss=1.9030 | time=0.8s
  [Client 29] Round 1 | loss=1.6274 | time=2.2s
  [Client 36] Round 1 | loss=1.4975 | time=1.1s
  [Client 76] Round 1 | loss=1.9734 | time=0.8s
  [Client  4] Round 1 | loss=1.9881 | time=1.2s
  [Client 60] Round 1 | loss=1.6371 | time=0.8s
  [Client  1] Round 1 | loss=1.5763 | time=0.5s
  [Client 73] Round 1 | loss=2.0427 | time=1.0s
  [Client 26] Round 1 | loss=1.9455 | time=10.0s
  [Client 72] Round 1 | loss=1.8001 | time=1.6s
  [Client  6] Round 1 | loss=1.9681 | time=0.5s
  [Client 51] Round 1 | loss=1.5307 | time=0.3s
  [Client  3] Round 1 | loss=1.7156 | time=1.4s
  [Client 47] Round 1 | loss=1.8117 | time=11.7s
  [Client 82] Round 1 | loss=1.7222 | time=0.6s
  [Client 78] Round 1 | loss=1.4816 | time=1.3s
  [Client 87] Round 1 | loss=1.6122 | time=0.6s
  [Client 41] Round 1 | loss=2.0409 | time=11.0s
  [Client 30] Round 1 | loss=1.6637 | time=0.7s
  [Client 45] Round 1 | loss=1.6823 | time=0.7s
  [Client 77] Round 1 | loss=1.4158 | time=0.7s
  [Client 39] Round 1 | loss=2.2974 | time=0.5s
  [Edge 0] G-Round 1 | E-Round 3 | loss=1.7350
  [Edge 0] G-Round 1 | E-Round 4 | Selected 68/98 clients
  [Client 33] Round 1 | loss=1.7309 | time=1.4s
  [Client 63] Round 1 | loss=1.7687 | time=0.8s
  [Client 96] Round 1 | loss=1.7896 | time=0.9s
  [Client 79] Round 1 | loss=1.8990 | time=1.1s
  [Client 56] Round 1 | loss=1.7094 | time=0.9s
