
====================================================
 Centralized Training Start
====================================================
  [Epoch  63/200] train_loss=0.0027 | test_loss=0.9930 | test_acc=0.8453 | time=5.4s
  [Epoch  64/200] train_loss=0.0019 | test_loss=0.9782 | test_acc=0.8492 | time=5.4s
  [Epoch  65/200] train_loss=0.0025 | test_loss=0.9884 | test_acc=0.8461 | time=5.4s
  [Epoch  66/200] train_loss=0.0017 | test_loss=0.9964 | test_acc=0.8478 | time=5.4s
  [Epoch  67/200] train_loss=0.0021 | test_loss=1.0113 | test_acc=0.8412 | time=5.4s
  [Epoch  68/200] train_loss=0.0035 | test_loss=0.9961 | test_acc=0.8467 | time=5.4s
  [Epoch  69/200] train_loss=0.0022 | test_loss=0.9919 | test_acc=0.8478 | time=5.4s
  [Epoch  70/200] train_loss=0.0017 | test_loss=0.9914 | test_acc=0.8468 | time=5.4s
  [Epoch  71/200] train_loss=0.0027 | test_loss=1.0243 | test_acc=0.8424 | time=5.4s
  [Epoch  72/200] train_loss=0.0016 | test_loss=0.9955 | test_acc=0.8468 | time=5.4s
  [Epoch  73/200] train_loss=0.0014 | test_loss=1.0182 | test_acc=0.8477 | time=5.4s
  [Epoch  74/200] train_loss=0.0017 | test_loss=1.0313 | test_acc=0.8473 | time=5.4s
  [Epoch  75/200] train_loss=0.0012 | test_loss=1.0331 | test_acc=0.8473 | time=5.4s
  [Epoch  76/200] train_loss=0.0018 | test_loss=1.0209 | test_acc=0.8475 | time=5.4s
  [Epoch  77/200] train_loss=0.0023 | test_loss=1.0068 | test_acc=0.8467 | time=5.4s
  [Epoch  78/200] train_loss=0.0019 | test_loss=1.0152 | test_acc=0.8486 | time=5.4s
  [Epoch  79/200] train_loss=0.0018 | test_loss=1.0654 | test_acc=0.8415 | time=5.4s
  [Epoch  80/200] train_loss=0.0015 | test_loss=1.0485 | test_acc=0.8450 | time=5.4s
  [Epoch  81/200] train_loss=0.0014 | test_loss=1.0276 | test_acc=0.8477 | time=5.4s
  [Epoch  82/200] train_loss=0.0010 | test_loss=1.0105 | test_acc=0.8481 | time=5.4s
  [Epoch  83/200] train_loss=0.0012 | test_loss=1.0158 | test_acc=0.8513 | time=5.4s
  [Epoch  84/200] train_loss=0.0010 | test_loss=1.0131 | test_acc=0.8495 | time=5.4s
  [Epoch  85/200] train_loss=0.0016 | test_loss=1.0652 | test_acc=0.8471 | time=5.4s
  [Epoch  86/200] train_loss=0.0010 | test_loss=1.0570 | test_acc=0.8462 | time=5.4s
  [Epoch  87/200] train_loss=0.0011 | test_loss=1.0538 | test_acc=0.8485 | time=5.4s
  [Epoch  88/200] train_loss=0.0013 | test_loss=1.0368 | test_acc=0.8480 | time=5.4s
  [Epoch  89/200] train_loss=0.0009 | test_loss=1.0528 | test_acc=0.8489 | time=5.4s
  [Epoch  90/200] train_loss=0.0009 | test_loss=1.0474 | test_acc=0.8485 | time=5.4s
  [Epoch  91/200] train_loss=0.0008 | test_loss=1.0530 | test_acc=0.8473 | time=5.4s
  [Epoch  92/200] train_loss=0.0008 | test_loss=1.0583 | test_acc=0.8479 | time=5.4s
  [Epoch  93/200] train_loss=0.0011 | test_loss=1.0428 | test_acc=0.8460 | time=5.4s
  [Epoch  94/200] train_loss=0.0009 | test_loss=1.0202 | test_acc=0.8486 | time=5.4s
