
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 5 edges...
  [Client  9] Round 1 | loss=1.6991 | time=1.1s
  [Client 13] Round 1 | loss=1.9150 | time=1.4s
  [Client 40] Round 1 | loss=1.6597 | time=1.1s
  [Client 21] Round 1 | loss=1.7275 | time=2.1s
  [Client 28] Round 1 | loss=1.9045 | time=0.2s
  [Client 31] Round 1 | loss=1.9385 | time=2.0s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.6888
  [Edge 1] G-Round 1 | E-Round 4 | Selected 24/35 clients
  [Client  1] Round 1 | loss=1.6835 | time=0.6s
  [Client 44] Round 1 | loss=1.7593 | time=3.1s
  [Client 13] Round 1 | loss=1.7484 | time=1.4s
  [Client  3] Round 1 | loss=1.4545 | time=2.6s
  [Client  6] Round 1 | loss=1.6320 | time=2.7s
  [Client 22] Round 1 | loss=1.6868 | time=1.8s
  [Client  9] Round 1 | loss=1.5370 | time=1.1s
  [Client 42] Round 1 | loss=1.5891 | time=2.4s
  [Client  5] Round 1 | loss=1.8029 | time=1.3s
  [Client 48] Round 1 | loss=1.4824 | time=2.0s
  [Client 28] Round 1 | loss=1.9314 | time=0.2s
  [Client 16] Round 1 | loss=1.6614 | time=2.0s
  [Client 31] Round 1 | loss=1.7968 | time=2.0s
  [Client 14] Round 1 | loss=1.7316 | time=3.1s
  [Client 24] Round 1 | loss=1.3628 | time=1.3s
  [Client 15] Round 1 | loss=1.6251 | time=1.0s
  [Client 41] Round 1 | loss=1.7145 | time=0.7s
  [Client  4] Round 1 | loss=1.6148 | time=1.6s
  [Client 21] Round 1 | loss=1.6220 | time=2.2s
  [Client 46] Round 1 | loss=1.2372 | time=0.5s
  [Client 18] Round 1 | loss=1.6742 | time=2.0s
  [Client 32] Round 1 | loss=1.6253 | time=1.6s
  [Client 19] Round 1 | loss=1.1969 | time=2.3s
  [Client 47] Round 1 | loss=1.5200 | time=2.1s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.6075
  [Edge 1] G-Round 1 | E-Round 5 | Selected 24/35 clients
  [Client  7] Round 1 | loss=1.6056 | time=3.4s
  [Client 48] Round 1 | loss=1.3931 | time=2.0s
  [Client 22] Round 1 | loss=1.6135 | time=1.8s
  [Client 15] Round 1 | loss=1.6057 | time=1.0s
  [Client 49] Round 1 | loss=1.7371 | time=0.8s
  [Client 11] Round 1 | loss=1.5629 | time=2.1s
  [Client 36] Round 1 | loss=1.3069 | time=1.3s
  [Client 24] Round 1 | loss=1.2467 | time=1.3s
  [Client  3] Round 1 | loss=1.3963 | time=2.6s
  [Client 26] Round 1 | loss=1.4166 | time=1.3s
  [Client 32] Round 1 | loss=1.5368 | time=1.6s
  [Client 28] Round 1 | loss=1.6998 | time=0.2s
  [Client 33] Round 1 | loss=1.8217 | time=1.8s
  [Client 47] Round 1 | loss=1.4626 | time=2.1s
  [Client 13] Round 1 | loss=1.6917 | time=1.4s
  [Client 40] Round 1 | loss=1.5085 | time=1.0s
  [Client 44] Round 1 | loss=1.7049 | time=3.1s
  [Client 16] Round 1 | loss=1.5554 | time=2.0s
  [Client 31] Round 1 | loss=1.7344 | time=2.0s
  [Client 46] Round 1 | loss=1.3037 | time=0.5s
  [Client 18] Round 1 | loss=1.5558 | time=2.0s
  [Client  9] Round 1 | loss=1.5087 | time=1.1s
  [Client 19] Round 1 | loss=1.1139 | time=2.3s
  [Client 14] Round 1 | loss=1.6872 | time=3.1s
  [Edge 1] G-Round 1 | E-Round 5 | loss=1.5389
  [Edge 2] G-Round 1 | E-Round 1 | Selected 1/2 clients
  [Client 23] Round 1 | loss=1.5455 | time=13.2s
  [Edge 2] G-Round 1 | E-Round 1 | loss=1.5455
  [Edge 2] G-Round 1 | E-Round 2 | Selected 1/2 clients
  [Client  2] Round 1 | loss=1.7369 | time=12.4s
  [Edge 2] G-Round 1 | E-Round 2 | loss=1.7369
  [Edge 2] G-Round 1 | E-Round 3 | Selected 1/2 clients
  [Client  2] Round 1 | loss=1.4906 | time=2.1s
  [Edge 2] G-Round 1 | E-Round 3 | loss=1.4906
  [Edge 2] G-Round 1 | E-Round 4 | Selected 1/2 clients
  [Client 23] Round 1 | loss=1.3703 | time=2.6s
  [Edge 2] G-Round 1 | E-Round 4 | loss=1.3703
  [Edge 2] G-Round 1 | E-Round 5 | Selected 1/2 clients
  [Client  2] Round 1 | loss=1.6956 | time=2.1s
  [Edge 2] G-Round 1 | E-Round 5 | loss=1.6956
  [Edge 3] G-Round 1 | E-Round 1 | Selected 1/2 clients
  [Client 37] Round 1 | loss=1.7583 | time=11.7s
  [Edge 3] G-Round 1 | E-Round 1 | loss=1.7583
  [Edge 3] G-Round 1 | E-Round 2 | Selected 1/2 clients
  [Client 37] Round 1 | loss=1.5008 | time=2.0s
  [Edge 3] G-Round 1 | E-Round 2 | loss=1.5008
  [Edge 3] G-Round 1 | E-Round 3 | Selected 1/2 clients
  [Client 37] Round 1 | loss=1.4097 | time=2.0s
  [Edge 3] G-Round 1 | E-Round 3 | loss=1.4097
  [Edge 3] G-Round 1 | E-Round 4 | Selected 1/2 clients
  [Client 37] Round 1 | loss=1.3543 | time=2.0s
  [Edge 3] G-Round 1 | E-Round 4 | loss=1.3543
  [Edge 3] G-Round 1 | E-Round 5 | Selected 1/2 clients
  [Client 37] Round 1 | loss=1.3043 | time=2.0s
  [Edge 3] G-Round 1 | E-Round 5 | loss=1.3043
  [Edge 4] G-Round 1 | E-Round 1 | Selected 2/3 clients
  [Client 17] Round 1 | loss=1.8568 | time=12.4s
  [Client 43] Round 1 | loss=1.9695 | time=8.8s
  [Edge 4] G-Round 1 | E-Round 1 | loss=1.9075
  [Edge 4] G-Round 1 | E-Round 2 | Selected 2/3 clients
  [Client 27] Round 1 | loss=1.1776 | time=12.3s
  [Client 17] Round 1 | loss=1.7039 | time=1.7s
  [Edge 4] G-Round 1 | E-Round 2 | loss=1.4136
  [Edge 4] G-Round 1 | E-Round 3 | Selected 2/3 clients
  [Client 27] Round 1 | loss=1.0501 | time=2.1s
  [Client 43] Round 1 | loss=1.8990 | time=1.4s
  [Edge 4] G-Round 1 | E-Round 3 | loss=1.3895
  [Edge 4] G-Round 1 | E-Round 4 | Selected 2/3 clients
  [Client 27] Round 1 | loss=0.9991 | time=2.1s
  [Client 43] Round 1 | loss=1.6635 | time=1.4s
  [Edge 4] G-Round 1 | E-Round 4 | loss=1.2648
  [Edge 4] G-Round 1 | E-Round 5 | Selected 2/3 clients
  [Client 17] Round 1 | loss=1.5382 | time=1.7s
  [Client 27] Round 1 | loss=0.9434 | time=2.1s
  [Edge 4] G-Round 1 | E-Round 5 | loss=1.2102
[Round   1] Phase 2: Cloud aggregating...
  [Cloud] acc=0.2631 | loss=1.9585 | time=775.2s | comm=5348.0MB (total=5348MB)

[Round   2] Phase 1: Cloud broadcasting to 5 edges...
  [Edge 0] G-Round 2 | E-Round 1 | Selected 5/8 clients
  [Client 38] Round 2 | loss=1.5795 | time=2.4s
  [Client 30] Round 2 | loss=1.6145 | time=1.1s
  [Client 25] Round 2 | loss=1.3337 | time=1.9s
  [Client 12] Round 2 | loss=1.2118 | time=1.4s
  [Client 10] Round 2 | loss=1.2750 | time=1.7s
  [Edge 0] G-Round 2 | E-Round 1 | loss=1.4089
  [Edge 0] G-Round 2 | E-Round 2 | Selected 5/8 clients
  [Client 30] Round 2 | loss=1.6382 | time=1.1s
  [Client 38] Round 2 | loss=1.5394 | time=2.4s
  [Client 39] Round 2 | loss=1.0569 | time=1.1s
  [Client 25] Round 2 | loss=1.2807 | time=1.9s
  [Client 12] Round 2 | loss=1.1470 | time=1.4s
  [Edge 0] G-Round 2 | E-Round 2 | loss=1.3552
  [Edge 0] G-Round 2 | E-Round 3 | Selected 5/8 clients
  [Client 39] Round 2 | loss=0.9927 | time=1.1s
  [Client 34] Round 2 | loss=0.8558 | time=4.6s
  [Client 10] Round 2 | loss=1.3250 | time=1.7s
  [Client 30] Round 2 | loss=1.6085 | time=1.1s
  [Client 38] Round 2 | loss=1.4522 | time=2.4s
  [Edge 0] G-Round 2 | E-Round 3 | loss=1.1513
  [Edge 0] G-Round 2 | E-Round 4 | Selected 5/8 clients
  [Client 12] Round 2 | loss=1.0900 | time=1.4s
