
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 10 edges...
  [Client 65] Round 1 | loss=1.6788 | time=0.4s
  [Client 12] Round 1 | loss=1.7985 | time=0.6s
  [Client 67] Round 1 | loss=1.7613 | time=1.5s
  [Edge 1] G-Round 1 | E-Round 2 | loss=1.7615
  [Edge 1] G-Round 1 | E-Round 3 | Selected 7/10 clients
  [Client 20] Round 1 | loss=1.7343 | time=9.6s
  [Client 26] Round 1 | loss=1.6800 | time=0.9s
  [Client 89] Round 1 | loss=1.8507 | time=0.6s
  [Client 67] Round 1 | loss=1.6318 | time=1.5s
  [Client 65] Round 1 | loss=1.7020 | time=0.4s
  [Client 31] Round 1 | loss=1.0280 | time=1.0s
  [Client 40] Round 1 | loss=1.9085 | time=10.4s
  [Edge 1] G-Round 1 | E-Round 3 | loss=1.6199
  [Edge 1] G-Round 1 | E-Round 4 | Selected 7/10 clients
  [Client 40] Round 1 | loss=2.0218 | time=0.7s
  [Client 89] Round 1 | loss=1.9794 | time=0.6s
  [Client 12] Round 1 | loss=1.7324 | time=0.6s
  [Client 79] Round 1 | loss=1.9968 | time=1.1s
  [Client 20] Round 1 | loss=1.5460 | time=1.0s
  [Client 31] Round 1 | loss=0.9094 | time=1.0s
  [Client 65] Round 1 | loss=1.8151 | time=0.4s
  [Edge 1] G-Round 1 | E-Round 4 | loss=1.6797
  [Edge 1] G-Round 1 | E-Round 5 | Selected 7/10 clients
  [Client 54] Round 1 | loss=1.7831 | time=1.2s
  [Client 12] Round 1 | loss=1.6524 | time=0.6s
  [Client 26] Round 1 | loss=1.6818 | time=0.9s
  [Client 79] Round 1 | loss=1.7582 | time=1.1s
  [Client 67] Round 1 | loss=1.6990 | time=1.5s
  [Client 89] Round 1 | loss=1.7637 | time=0.6s
  [Client 65] Round 1 | loss=1.5371 | time=0.4s
  [Edge 1] G-Round 1 | E-Round 5 | loss=1.7151
  [Edge 1] G-Round 1 | E-Round 6 | Selected 7/10 clients
  [Client 12] Round 1 | loss=1.4761 | time=0.6s
  [Client 65] Round 1 | loss=1.6106 | time=0.4s
  [Client 79] Round 1 | loss=1.7498 | time=1.1s
  [Client 67] Round 1 | loss=1.4606 | time=1.5s
  [Client 20] Round 1 | loss=1.5290 | time=1.0s
  [Client 54] Round 1 | loss=1.8356 | time=1.2s
