
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 20 edges...
  [Client 71] Round 1 | loss=1.7382 | time=0.6s
  [Client 29] Round 1 | loss=1.6698 | time=11.0s
  [Client 47] Round 1 | loss=1.7443 | time=1.2s
  [Client 79] Round 1 | loss=1.8787 | time=1.1s
  [Edge 3] G-Round 1 | E-Round 3 | loss=1.7403
  [Edge 3] G-Round 1 | E-Round 4 | Selected 4/6 clients
  [Client 29] Round 1 | loss=1.6544 | time=2.2s
  [Client 70] Round 1 | loss=2.0592 | time=0.3s
  [Client 71] Round 1 | loss=1.6907 | time=0.6s
  [Client 79] Round 1 | loss=1.8812 | time=1.1s
  [Edge 3] G-Round 1 | E-Round 4 | loss=1.7438
  [Edge 3] G-Round 1 | E-Round 5 | Selected 4/6 clients
  [Client 47] Round 1 | loss=1.7094 | time=1.2s
  [Client 70] Round 1 | loss=2.0511 | time=0.3s
  [Client 71] Round 1 | loss=1.6664 | time=0.6s
  [Client 29] Round 1 | loss=1.6348 | time=2.2s
  [Edge 3] G-Round 1 | E-Round 5 | loss=1.6842
  [Edge 4] G-Round 1 | E-Round 1 | Selected 4/6 clients
  [Client 52] Round 1 | loss=1.9078 | time=5.9s
  [Client 69] Round 1 | loss=1.9215 | time=9.8s
  [Client 38] Round 1 | loss=1.9999 | time=6.3s
  [Client 17] Round 1 | loss=1.9364 | time=6.7s
  [Edge 4] G-Round 1 | E-Round 1 | loss=1.9269
  [Edge 4] G-Round 1 | E-Round 2 | Selected 4/6 clients
  [Client 52] Round 1 | loss=1.8971 | time=0.4s
  [Client 48] Round 1 | loss=1.6269 | time=9.6s
  [Client 69] Round 1 | loss=1.9178 | time=1.4s
  [Client 38] Round 1 | loss=1.9323 | time=0.2s
  [Edge 4] G-Round 1 | E-Round 2 | loss=1.8044
  [Edge 4] G-Round 1 | E-Round 3 | Selected 4/6 clients
  [Client 38] Round 1 | loss=1.9357 | time=0.2s
  [Client 69] Round 1 | loss=1.8852 | time=1.4s
  [Client 17] Round 1 | loss=1.9141 | time=0.3s
  [Client 52] Round 1 | loss=1.8453 | time=0.4s
  [Edge 4] G-Round 1 | E-Round 3 | loss=1.8848
  [Edge 4] G-Round 1 | E-Round 4 | Selected 4/6 clients
  [Client 52] Round 1 | loss=1.8308 | time=0.4s
  [Client 48] Round 1 | loss=1.6089 | time=1.3s
  [Client 17] Round 1 | loss=1.9202 | time=0.3s
  [Client 89] Round 1 | loss=1.9589 | time=9.6s
  [Edge 4] G-Round 1 | E-Round 4 | loss=1.7592
  [Edge 4] G-Round 1 | E-Round 5 | Selected 4/6 clients
  [Client 17] Round 1 | loss=1.9141 | time=0.3s
  [Client 38] Round 1 | loss=1.8764 | time=0.2s
